ean;descripcion;marca;n_sucursales;n_cadenas;precio_mediano;coicop_sugerido;rubro_sugerido;coicop_subclase
0000040084107;HUEVO DE CHOCOLATE;KINDER;711;10;2841.0;01.1.4;Leche, productos lácteos y huevos;
7798128000691;GALLETA INTEGRA CHIP;CACHAFAZ;711;10;3769.0;01.1.1;Pan y cereales;
7790895006715;GASEOSA SABOR TONICA;SCHWEPPES;710;10;4500.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7791813444411;GASE LIMA LIMON;7 UP;710;10;4000.0;01.1.6;Frutas;01.2.2
7799155000180;AGUA S/GAS MINERAL;VILLAVICENCIO;710;10;2700.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
0000077953124;CHOCO CON MANI BLOCK;BLOCK;709;10;2315.0;;;01.1.6
7622300829728;GALLETITAS RELLENAS;MELBA;709;10;1450.0;01.1.1;Pan y cereales;
7791813828419;GASEO COLA BLACK;PEPSI;709;10;4000.0;;;
7791813888413;GASEO COLA;PEPSI;709;10;4000.0;;;
0000078931053;HUEVO CHOCOLATE NIÑA;KINDER;708;10;2841.0;01.1.4;Leche, productos lácteos y huevos;
7792360072447;OBLEA RELL CHOCOLATE;NUGATON;708;10;1110.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.1
7790387014624;YERBA MATE 4 FLEX;UNION;707;10;2893.0;01.2.1;Café, té, yerba y cacao;
7792200000128;BIZCOCHOS AGRIDULCES;9 DE ORO;707;10;1350.0;01.1.1;Pan y cereales;
7791290794054;LAVAVAJILL BIOACT LI;CIF;706;10;2700.0;;;
7791813888406;GASEO COLA REGULAR;PEPSI;706;10;2100.0;;;
7795323775348;LECHE INFANTIL 3;NUTRILON;706;10;2913.5;01.1.4;Leche, productos lácteos y huevos;01.1.4
7797394001265;PASTILLA MIX FRUTA;TIC TAC;706;10;1050.0;01.1.6;Frutas;
0000078600010;PASTILLA SABOR MENTA;TIC TAC;705;10;1050.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.8
0000078909434;BOMBON CHOC ALMEN X3;FERRERO ROCHER;705;10;3571.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.8
7790315000149;AGUA S/GAS MINERAL;VILLA DEL SUR;704;10;2130.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7792170042005;BEBIDA SALES MANZ;GATORADE;704;10;2300.0;;;
7799155000197;AGUA S/GAS MINERAL;VILLAVICENCIO;704;10;3050.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7793253004231;DESOD AMBIEN LAVANDA;POETT;701;10;3900.0;;;
0000078600027;PASTILLA SABOR NARAN;TIC TAC;699;10;1050.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7793253003500;DESIN FRESC LAVANDA;POETT;699;10;2440.0;;;
7795323775331;LECHE INFANTIL 2;NUTRILON;699;10;3058.0;01.1.4;Leche, productos lácteos y huevos;01.1.4
7792200000159;BIZCOCHOS GRASA CLAS;9 DE ORO;698;10;1350.0;01.1.5;Aceites, grasas y manteca;
7790550022234;CAFE TOSTADO MOLIDO;CABRALES;697;10;14180.0;01.2.1;Café, té, yerba y cacao;
7793253003548;DESINF FLORES PRIMAV;POETT;697;10;2440.0;;;
7790895012259;GASEO COLA S/AZUCAR;COCA;691;10;4900.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7795323775324;LECHE INFANTIL 1;NUTRILON;689;10;3222.0;01.1.4;Leche, productos lácteos y huevos;01.1.4
7509552930344;AC GLYCO GLOSS;ELVIVE;687;10;12489.0;;;
7790895067570;GASEO COLA ZERO;COCA;686;10;5700.0;;;
7622300742645;GALL DULCES RELLENAS;DUQUESA;685;10;1570.0;;;
7790387015607;YERBA MATE CAMPO ORI;LA MERCED;685;10;4829.0;01.2.1;Café, té, yerba y cacao;
7509552928846;SH GLYCOLIC GLOSS;ELVIVE;684;10;12489.0;;;
7790895007248;GASEOSA LIMA LIMON;SPRITE;684;10;4900.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7791293050324;SHAMPOO HIDRATACION;DOVE;684;10;9687.0;;;
